"","state","Lat","Lon","Total","BNT","BNI","TBT","BBI","TBI","TBIR","year_start","year_end"
"142","ME",44.3937,-69.4416,116,0.129310345,0.00862069,0.646551725,0,0.00862069,0,1662,1835
"143","ME",44.39,-69.18,96,0.135416667,0.020833333,0.572916667,0.020833333,0,0.010416667,1662,1835
"144","ME",44.3892,-70.5914,58,0.172413793,0.051724138,0.465517241,0,0,0,1662,1835
"145","ME",44.36,-68.28,171,0.415204679,0.210526316,0.251461987,0.046783626,0,0.052631579,1662,1835
"146","ME",44.33,-69.04,199,0.281407036,0.065326634,0.391959799,0,0.005025126,0.020100503,1662,1835
"147","ME",44.32,-69.29,323,0.238390093,0.046439628,0.470588235,0,0.00619195,0.00619195,1662,1835
"148","ME",44.31,-68.91,109,0.348623853,0.082568808,0.458715596,0,0,0.036697248,1662,1835
"149","NH",44.2817,-71.6917,68,0.588235294,0,0.397058823,0,0,0,1673,1850
"150","ME",44.28,-70.51,50,0.2,0.06,0.54,0.02,0,0,1662,1835
"151","NH",44.2767,-71.4083,76,0.486842105,0,0.394736842,0,0,0,1673,1850
"152","ME",44.26,-69.76,96,0.03125,0.09375,0.447916666,0.010416667,0.010416667,0.21875,1662,1835
"153","ME",44.2258,-70.6071,100,0.02,0.13,0.56,0.01,0.01,0.09,1662,1835
"154","ME",44.22,-69.15,63,0.142857142,0.206349207,0.380952382,0.031746032,0,0.142857143,1662,1835
"155","ME",44.22,-69.29,50,0.12,0.04,0.46,0.04,0,0.16,1662,1835
"156","ME",44.1997,-70.7258,57,0.175438597,0.070175439,0.456140352,0,0,0.035087719,1662,1835
"157","NH",44.19,-71.13,57,0.01754386,0.035087719,0.807017545,0.01754386,0,0,1673,1850
"158","ME",44.14,-69.23,126,0.182539683,0.103174603,0.460317461,0,0,0.182539683,1662,1835
"159","ME",44.1087,-69.3912,174,0.218390805,0.109195402,0.373563217,0.017241379,0,0.08045977,1662,1835
"160","NH",44.1,-71.66,108,0.518518519,0.009259259,0.425925926,0,0,0,1673,1850
"161","ME",44.1,-69.14,98,0.357142857,0.132653061,0.367346939,0,0,0.112244898,1662,1835
"162","ME",44.09,-68.86,231,0.584415585,0.051948052,0.290043291,0,0,0.012987013,1662,1835
"163","ME",44.0693,-69.6881,186,0.096774193,0.225806452,0.247311827,0.010752688,0,0.23655914,1662,1835
"164","ME",44.068,-70.305,222,0.148648649,0.121621622,0.51801802,0.009009009,0,0.058558559,1662,1835
"165","ME",44.0541,-70.9425,317,0.050473186,0.19873817,0.410094636,0.059936909,0,0.195583596,1662,1835
